ticket_id,show_id,theater_id,movie_id,customer_id,purchase_time,seat_type,price,quantity,total
T000096,S0492,T05,M015,C0161,2025-07-17 19:53:50,VIP,55.5,1,55.5
T000097,S0407,T05,M024,C0369,2025-07-08 11:38:50,Regular,48.0,1,48.0
T000098,S0365,T04,M013,C0581,2025-08-12 17:38:50,Regular,39.0,1,39.0
T000099,S0066,T01,M027,C0127,2025-05-07 08:38:50,Regular,40.0,1,40.0
T000100,S0238,T03,M021,C0502,2025-07-18 10:38:50,Regular,39.0,1,39.0
T000101,S0111,T02,M023,C0395,2025-08-13 16:08:50,Regular,38.0,1,38.0
T000102,S0206,T03,M036,C0470,2025-08-22 12:23:50,VIP,67.5,1,67.5
T000103,S0426,T05,M029,C0306,2025-09-12 01:53:50,Regular,46.0,1,46.0
T000104,S0384,T04,M023,C0503,2025-08-16 03:23:50,Regular,38.0,1,38.0
T000105,S0414,T05,M002,C0438,2025-05-19 03:53:50,VIP,55.5,1,55.5
T000106,S0196,T03,M007,C0186,2025-06-27 01:53:50,Regular,43.0,1,43.0
T000107,S0193,T03,M015,C0564,2025-09-17 21:53:50,VIP,55.5,1,55.5
T000108,S0002,T01,M023,C0301,2025-08-16 15:53:50,Regular,38.0,1,38.0
T000109,S0080,T02,M010,C0119,2025-05-29 06:53:50,Regular,38.0,1,38.0
T000110,S0064,T01,M032,C0287,2025-06-25 12:23:50,Regular,38.0,1,38.0
T000111,S0392,T05,M002,C0322,2025-07-04 01:08:50,Regular,37.0,1,37.0
T000112,S0279,T03,M026,C0515,2025-07-19 03:53:50,VIP,67.5,1,67.5
T000113,S0086,T02,M032,C0338,2025-09-10 10:53:50,Regular,38.0,1,38.0
T000114,S0128,T02,M014,C0346,2025-07-11 15:38:50,Regular,41.0,1,41.0
T000115,S0459,T05,M001,C0014,2025-08-06 16:08:50,Regular,37.0,1,37.0
T000116,S0452,T05,M023,C0172,2025-08-17 14:38:50,Regular,38.0,1,38.0
T000117,S0450,T05,M006,C0046,2025-07-25 08:38:50,Regular,43.0,1,43.0
T000118,S0106,T02,M036,C0003,2025-06-20 11:53:50,VIP,67.5,1,67.5
T000119,S0466,T05,M026,C0127,2025-07-29 04:23:50,Regular,45.0,1,45.0
T000120,S0350,T04,M034,C0209,2025-05-20 15:38:50,Regular,41.0,1,41.0
T000121,S0104,T02,M018,C0415,2025-09-05 16:23:50,VIP,54.0,1,54.0
T000122,S0185,T03,M011,C0405,2025-08-26 12:23:50,VIP,55.5,1,55.5
T000123,S0317,T04,M032,C0247,2025-06-08 01:08:50,Regular,38.0,1,38.0
T000124,S0151,T02,M002,C0251,2025-05-10 03:38:50,Regular,37.0,1,37.0
T000125,S0245,T03,M023,C0031,2025-08-14 13:38:50,Couple,68.4,1,68.4
T000126,S0054,T01,M024,C0373,2025-07-06 17:08:50,Regular,48.0,1,48.0
T000127,S0270,T03,M032,C0594,2025-08-27 20:23:50,Couple,68.4,1,68.4
T000128,S0450,T05,M006,C0245,2025-07-26 21:38:50,VIP,64.5,1,64.5
T000129,S0027,T01,M009,C0007,2025-09-02 02:08:50,Regular,45.0,1,45.0
T000130,S0431,T05,M022,C0349,2025-05-28 20:38:50,Regular,40.0,1,40.0
T000131,S0378,T04,M040,C0593,2025-08-21 07:53:50,Regular,36.0,1,36.0
T000132,S0227,T03,M026,C0443,2025-06-06 20:53:50,Regular,45.0,1,45.0
T000133,S0154,T02,M014,C0319,2025-08-10 03:38:50,Regular,41.0,1,41.0
T000134,S0127,T02,M040,C0226,2025-08-05 22:53:50,Regular,36.0,1,36.0
T000135,S0055,T01,M027,C0583,2025-07-14 01:23:50,Regular,40.0,1,40.0
T000136,S0163,T02,M031,C0092,2025-07-21 06:23:50,VIP,60.0,1,60.0
T000137,S0428,T05,M009,C0548,2025-06-24 07:38:50,Regular,45.0,1,45.0
T000138,S0113,T02,M012,C0270,2025-07-04 00:53:50,Regular,40.0,1,40.0
T000139,S0363,T04,M004,C0167,2025-08-24 13:23:50,Regular,42.0,1,42.0
T000140,S0247,T03,M004,C0588,2025-08-21 11:23:50,Couple,75.6,1,75.6
T000141,S0479,T05,M022,C0268,2025-07-29 06:23:50,Regular,40.0,1,40.0
T000142,S0128,T02,M014,C0038,2025-07-15 12:38:50,Regular,41.0,1,41.0
T000143,S0413,T05,M004,C0413,2025-09-02 07:23:50,Regular,42.0,1,42.0
T000144,S0394,T05,M023,C0386,2025-07-13 19:38:50,Regular,38.0,1,38.0
T000145,S0138,T02,M008,C0061,2025-08-02 14:38:50,Regular,36.0,1,36.0
T000146,S0115,T02,M009,C0450,2025-09-05 02:23:50,Regular,45.0,1,45.0
T000147,S0361,T04,M005,C0413,2025-08-11 06:53:50,Regular,38.0,1,38.0
T000148,S0383,T04,M006,C0270,2025-08-26 23:08:50,Regular,43.0,1,43.0
T000149,S0286,T03,M013,C0320,2025-04-28 12:23:50,Regular,39.0,1,39.0
T000150,S0039,T01,M024,C0023,2025-06-27 00:38:50,Regular,48.0,1,48.0
T000151,S0437,T05,M020,C0504,2025-05-14 05:08:50,Regular,39.0,1,39.0
T000152,S0250,T03,M028,C0304,2025-08-29 23:53:50,Regular,43.0,1,43.0
T000153,S0299,T03,M038,C0014,2025-08-25 20:08:50,Regular,41.0,1,41.0
T000154,S0464,T05,M027,C0207,2025-08-24 18:23:50,VIP,60.0,1,60.0
T000155,S0119,T02,M032,C0190,2025-06-30 00:38:50,Regular,38.0,1,38.0
T000156,S0462,T05,M038,C0101,2025-07-25 07:38:50,Regular,41.0,1,41.0
T000157,S0112,T02,M001,C0190,2025-09-11 04:53:50,Regular,37.0,1,37.0
T000158,S0190,T03,M040,C0057,2025-06-24 18:38:50,Regular,36.0,1,36.0
T000159,S0375,T04,M023,C0454,2025-07-12 19:38:50,VIP,57.0,1,57.0
T000160,S0303,T03,M037,C0584,2025-07-18 02:08:50,Regular,45.0,1,45.0
T000161,S0113,T02,M012,C0175,2025-06-26 12:53:50,Regular,40.0,1,40.0
T000162,S0250,T03,M028,C0353,2025-09-01 19:53:50,Regular,43.0,1,43.0
T000163,S0117,T02,M024,C0017,2025-08-21 15:23:50,VIP,72.0,1,72.0
T000164,S0018,T01,M010,C0070,2025-09-12 14:38:50,Regular,38.0,1,38.0
T000165,S0182,T02,M005,C0238,2025-05-14 13:23:50,Regular,38.0,1,38.0
T000166,S0243,T03,M005,C0513,2025-06-08 18:53:50,Regular,38.0,1,38.0
T000167,S0292,T03,M036,C0325,2025-08-16 16:38:50,Regular,45.0,1,45.0
T000168,S0386,T04,M016,C0206,2025-06-27 09:38:50,Regular,44.0,1,44.0
T000169,S0284,T03,M004,C0534,2025-07-06 03:38:50,VIP,63.0,1,63.0
T000170,S0142,T02,M033,C0255,2025-06-24 23:53:50,Regular,40.0,1,40.0
T000171,S0095,T02,M003,C0284,2025-08-07 13:38:50,Regular,36.0,1,36.0
T000172,S0288,T03,M019,C0141,2025-08-22 03:23:50,Regular,39.0,1,39.0
T000173,S0455,T05,M016,C0069,2025-07-11 20:38:50,Regular,44.0,1,44.0
T000174,S0194,T03,M004,C0310,2025-05-24 09:08:50,VIP,63.0,1,63.0
T000175,S0441,T05,M021,C0482,2025-08-27 16:08:50,Regular,39.0,1,39.0
T000176,S0046,T01,M030,C0012,2025-07-15 03:53:50,Regular,38.0,1,38.0
T000177,S0304,T03,M021,C0103,2025-04-22 14:08:50,Regular,39.0,1,39.0
T000178,S0001,T01,M020,C0044,2025-05-21 16:08:50,VIP,58.5,1,58.5
T000179,S0386,T04,M016,C0452,2025-06-30 04:38:50,Regular,44.0,1,44.0
T000180,S0409,T05,M040,C0559,2025-06-18 11:38:50,Regular,36.0,1,36.0
T000181,S0008,T01,M037,C0257,2025-07-03 01:08:50,Regular,45.0,1,45.0
T000182,S0296,T03,M040,C0564,2025-06-30 10:23:50,Regular,36.0,1,36.0
T000183,S0018,T01,M010,C0372,2025-09-11 10:38:50,Regular,38.0,1,38.0
T000184,S0224,T03,M006,C0238,2025-06-18 03:08:50,Regular,43.0,1,43.0
T000185,S0444,T05,M028,C0360,2025-05-04 11:23:50,Regular,43.0,1,43.0
T000186,S0330,T04,M037,C0540,2025-05-31 08:23:50,Regular,45.0,1,45.0
T000187,S0341,T04,M013,C0419,2025-06-06 08:53:50,Regular,39.0,1,39.0
T000188,S0254,T03,M034,C0576,2025-07-14 20:53:50,Regular,41.0,1,41.0
T000189,S0209,T03,M034,C0593,2025-07-18 01:23:50,Regular,41.0,1,41.0
T000190,S0362,T04,M014,C0029,2025-05-05 17:08:50,Regular,41.0,1,41.0
T000191,S0218,T03,M027,C0290,2025-08-06 20:53:50,Regular,40.0,1,40.0
T000192,S0211,T03,M008,C0198,2025-06-29 08:53:50,Regular,36.0,1,36.0
T000193,S0452,T05,M023,C0503,2025-08-09 21:38:50,Regular,38.0,1,38.0
T000194,S0030,T01,M014,C0239,2025-05-21 06:38:50,Regular,41.0,1,41.0
T000195,S0460,T05,M026,C0014,2025-06-05 07:38:50,Regular,45.0,1,45.0
T000196,S0285,T03,M017,C0163,2025-08-02 15:08:50,Regular,43.0,1,43.0
T000197,S0193,T03,M015,C0514,2025-09-16 05:53:50,Regular,37.0,1,37.0
T000198,S0255,T03,M028,C0315,2025-05-12 23:23:50,Regular,43.0,1,43.0
T000199,S0166,T02,M032,C0527,2025-06-26 03:38:50,Couple,68.4,1,68.4
T000200,S0127,T02,M040,C0314,2025-07-29 11:53:50,VIP,54.0,1,54.0
T000201,S0163,T02,M031,C0113,2025-07-22 00:23:50,VIP,60.0,1,60.0
T000202,S0062,T01,M015,C0185,2025-07-05 02:53:50,Regular,37.0,1,37.0
T000203,S0463,T05,M025,C0197,2025-05-03 09:08:50,Regular,43.0,1,43.0
T000204,S0013,T01,M007,C0239,2025-04-29 17:23:50,Regular,43.0,1,43.0
T000205,S0485,T05,M004,C0367,2025-09-03 00:08:50,Regular,42.0,1,42.0
T000206,S0398,T05,M001,C0124,2025-07-25 14:23:50,Regular,37.0,1,37.0
T000207,S0164,T02,M017,C0542,2025-07-02 18:23:50,VIP,64.5,1,64.5
T000208,S0378,T04,M040,C0425,2025-08-18 23:53:50,Regular,36.0,1,36.0
T000209,S0438,T05,M030,C0203,2025-05-22 18:23:50,Regular,38.0,1,38.0
T000210,S0363,T04,M004,C0097,2025-08-28 07:23:50,Regular,42.0,1,42.0
T000211,S0471,T05,M004,C0178,2025-08-26 13:53:50,Regular,42.0,1,42.0
T000212,S0456,T05,M038,C0187,2025-08-16 18:38:50,Regular,41.0,1,41.0
T000213,S0109,T02,M035,C0238,2025-07-31 22:38:50,Regular,37.0,1,37.0
T000214,S0312,T03,M002,C0313,2025-08-30 00:53:50,Regular,37.0,1,37.0
T000215,S0215,T03,M012,C0422,2025-08-13 05:23:50,Regular,40.0,1,40.0
T000216,S0293,T03,M011,C0105,2025-06-01 01:53:50,VIP,55.5,1,55.5
T000217,S0204,T03,M015,C0512,2025-05-06 15:23:50,Regular,37.0,1,37.0
T000218,S0005,T01,M015,C0006,2025-05-25 17:23:50,VIP,55.5,1,55.5
T000219,S0056,T01,M005,C0506,2025-04-26 09:53:50,Regular,38.0,1,38.0
T000220,S0482,T05,M022,C0291,2025-08-08 18:38:50,Regular,40.0,1,40.0
T000221,S0250,T03,M028,C0129,2025-08-26 12:53:50,Regular,43.0,1,43.0
T000222,S0384,T04,M023,C0027,2025-08-21 01:23:50,Regular,38.0,1,38.0
T000223,S0156,T02,M038,C0072,2025-09-11 22:23:50,Regular,41.0,1,41.0
T000224,S0310,T03,M030,C0251,2025-05-10 11:38:50,Regular,38.0,1,38.0
T000225,S0210,T03,M006,C0208,2025-05-24 11:53:50,Regular,43.0,1,43.0
T000226,S0004,T01,M025,C0184,2025-07-05 01:53:50,Regular,43.0,1,43.0
T000227,S0446,T05,M012,C0144,2025-05-04 18:08:50,Regular,40.0,1,40.0
T000228,S0016,T01,M021,C0050,2025-09-11 22:08:50,VIP,58.5,1,58.5
T000229,S0180,T02,M039,C0311,2025-06-10 10:53:50,Regular,42.0,1,42.0
T000230,S0420,T05,M039,C0368,2025-05-15 18:08:50,Regular,42.0,1,42.0
T000231,S0480,T05,M026,C0236,2025-09-15 21:53:50,Regular,45.0,1,45.0
T000232,S0255,T03,M028,C0086,2025-05-10 19:23:50,Regular,43.0,1,43.0
T000233,S0259,T03,M039,C0257,2025-06-22 12:08:50,Regular,42.0,1,42.0
T000234,S0469,T05,M038,C0189,2025-05-25 23:23:50,Regular,41.0,1,41.0
T000235,S0005,T01,M015,C0592,2025-05-25 05:23:50,Regular,37.0,1,37.0
T000236,S0410,T05,M002,C0282,2025-07-05 12:38:50,Regular,37.0,1,37.0
T000237,S0009,T01,M018,C0122,2025-05-25 07:23:50,Regular,36.0,1,36.0
T000238,S0461,T05,M023,C0143,2025-05-27 08:08:50,Regular,38.0,1,38.0
T000239,S0457,T05,M031,C0575,2025-08-14 23:23:50,Regular,40.0,1,40.0
T000240,S0122,T02,M025,C0382,2025-06-01 13:38:50,VIP,64.5,1,64.5
T000241,S0225,T03,M015,C0369,2025-08-22 04:38:50,Regular,37.0,1,37.0
T000242,S0444,T05,M028,C0439,2025-05-07 00:23:50,Regular,43.0,1,43.0
T000243,S0356,T04,M028,C0024,2025-05-24 15:08:50,Regular,43.0,1,43.0
T000244,S0338,T04,M018,C0500,2025-06-10 18:23:50,Regular,36.0,1,36.0
T000245,S0474,T05,M005,C0493,2025-07-29 07:53:50,Regular,38.0,1,38.0
T000246,S0343,T04,M002,C0436,2025-08-17 08:08:50,Regular,37.0,1,37.0
T000247,S0240,T03,M027,C0233,2025-06-29 01:38:50,Regular,40.0,1,40.0
T000248,S0158,T02,M003,C0465,2025-08-13 17:23:50,Regular,36.0,1,36.0
T000249,S0424,T05,M016,C0543,2025-04-26 15:53:50,Regular,44.0,1,44.0
T000250,S0170,T02,M010,C0488,2025-08-08 20:08:50,Couple,68.4,1,68.4
T000251,S0380,T04,M008,C0573,2025-05-26 04:38:50,Regular,36.0,1,36.0
T000252,S0358,T04,M023,C0529,2025-08-05 18:53:50,Regular,38.0,1,38.0
T000253,S0406,T05,M022,C0328,2025-08-05 02:08:50,Regular,40.0,1,40.0
T000254,S0374,T04,M017,C0306,2025-09-23 02:23:50,Regular,43.0,1,43.0
T000255,S0427,T05,M005,C0424,2025-06-27 18:53:50,Regular,38.0,1,38.0
T000256,S0163,T02,M031,C0526,2025-07-31 19:23:50,Regular,40.0,1,40.0
T000257,S0164,T02,M017,C0309,2025-07-13 05:23:50,Regular,43.0,1,43.0
T000258,S0422,T05,M024,C0234,2025-06-02 05:23:50,Regular,48.0,1,48.0
T000259,S0039,T01,M024,C0013,2025-06-25 07:38:50,Regular,48.0,1,48.0
T000260,S0279,T03,M026,C0348,2025-07-20 17:53:50,Regular,45.0,1,45.0
T000261,S0236,T03,M024,C0140,2025-07-17 14:38:50,Regular,48.0,1,48.0
T000262,S0311,T03,M002,C0440,2025-09-02 01:53:50,Regular,37.0,1,37.0
T000263,S0474,T05,M005,C0167,2025-07-26 02:53:50,Regular,38.0,1,38.0
T000264,S0004,T01,M025,C0213,2025-07-02 08:53:50,VIP,64.5,1,64.5
T000265,S0297,T03,M026,C0509,2025-07-27 14:23:50,Regular,45.0,1,45.0
T000266,S0079,T02,M018,C0018,2025-06-28 02:08:50,Regular,36.0,1,36.0
T000267,S0168,T02,M024,C0533,2025-08-30 08:38:50,Regular,48.0,1,48.0
T000268,S0402,T05,M014,C0218,2025-09-16 10:53:50,Couple,73.8,1,73.8
T000269,S0392,T05,M002,C0482,2025-06-27 05:08:50,Regular,37.0,1,37.0
T000270,S0282,T03,M021,C0157,2025-08-04 06:23:50,Regular,39.0,1,39.0
T000271,S0476,T05,M030,C0108,2025-06-11 18:23:50,Regular,38.0,1,38.0
T000272,S0085,T02,M002,C0588,2025-07-22 21:38:50,Regular,37.0,1,37.0
T000273,S0156,T02,M038,C0044,2025-09-04 15:23:50,Regular,41.0,1,41.0
T000274,S0266,T03,M030,C0174,2025-05-26 05:38:50,Regular,38.0,1,38.0
T000275,S0475,T05,M001,C0471,2025-09-13 15:23:50,Regular,37.0,1,37.0
T000276,S0365,T04,M013,C0586,2025-08-16 13:38:50,Couple,70.2,1,70.2
T000277,S0441,T05,M021,C0518,2025-08-24 06:08:50,Regular,39.0,1,39.0
T000278,S0048,T01,M021,C0103,2025-09-05 16:08:50,Regular,39.0,1,39.0
T000279,S0411,T05,M002,C0556,2025-09-07 17:08:50,Regular,37.0,1,37.0
T000280,S0285,T03,M017,C0092,2025-08-01 03:08:50,Regular,43.0,1,43.0
T000281,S0474,T05,M005,C0576,2025-07-27 10:53:50,Regular,38.0,1,38.0
T000282,S0487,T05,M031,C0575,2025-09-04 06:53:50,Regular,40.0,1,40.0
T000283,S0179,T02,M013,C0343,2025-06-10 22:08:50,Regular,39.0,1,39.0
T000284,S0339,T04,M007,C0336,2025-07-27 15:08:50,Regular,43.0,1,43.0
T000285,S0330,T04,M037,C0286,2025-05-29 23:23:50,Regular,45.0,1,45.0
T000286,S0403,T05,M004,C0241,2025-07-24 03:08:50,Regular,42.0,1,42.0
T000287,S0072,T01,M025,C0506,2025-09-20 01:38:50,VIP,64.5,1,64.5
T000288,S0412,T05,M029,C0026,2025-05-27 01:23:50,Regular,46.0,1,46.0
T000289,S0399,T05,M027,C0449,2025-06-16 09:23:50,VIP,60.0,1,60.0
T000290,S0203,T03,M031,C0092,2025-06-09 04:08:50,Regular,40.0,1,40.0
T000291,S0144,T02,M008,C0060,2025-05-26 08:08:50,VIP,54.0,1,54.0
T000292,S0352,T04,M004,C0475,2025-05-07 13:08:50,Regular,42.0,1,42.0
T000293,S0456,T05,M038,C0482,2025-08-11 15:38:50,Regular,41.0,1,41.0
T000294,S0128,T02,M014,C0051,2025-07-09 10:38:50,Regular,41.0,1,41.0
T000295,S0383,T04,M006,C0530,2025-08-25 08:08:50,VIP,64.5,1,64.5
T000296,S0322,T04,M017,C0516,2025-08-25 01:38:50,Regular,43.0,1,43.0
T000297,S0019,T01,M004,C0543,2025-09-08 07:08:50,Regular,42.0,1,42.0
T000298,S0122,T02,M025,C0005,2025-06-07 13:38:50,Regular,43.0,1,43.0
T000299,S0117,T02,M024,C0092,2025-08-25 17:23:50,Regular,48.0,1,48.0
T000300,S0336,T04,M023,C0058,2025-09-15 20:38:50,Regular,38.0,1,38.0
T000301,S0102,T02,M036,C0576,2025-06-24 18:38:50,Regular,45.0,1,45.0
T000302,S0373,T04,M025,C0188,2025-09-02 02:38:50,Regular,43.0,1,43.0
T000303,S0410,T05,M002,C0496,2025-07-11 01:38:50,Regular,37.0,1,37.0
T000304,S0019,T01,M004,C0021,2025-09-08 21:08:50,Regular,42.0,1,42.0
T000305,S0192,T03,M010,C0415,2025-08-16 07:38:50,Regular,38.0,1,38.0
T000306,S0350,T04,M034,C0433,2025-05-25 11:38:50,VIP,61.5,1,61.5
T000307,S0187,T03,M020,C0328,2025-05-14 08:38:50,Regular,39.0,1,39.0
T000308,S0360,T04,M015,C0433,2025-09-24 00:38:50,Regular,37.0,1,37.0
T000309,S0129,T02,M028,C0108,2025-09-14 19:08:50,Regular,43.0,1,43.0
